Date,close,ret1,ret1_next,y,ret1_lag1,ret5,vol10,vol20,regime,p,pred
2006-02-01,88.62989807128906,0.0069800094899836,-0.0116052495253036,0.0,-0.0073182948422064,0.0136583746699932,0.0080199575888698,0.0061613063711173,2,,
2006-02-02,87.60132598876953,-0.0116052495253036,-0.0049649536525652,0.0,0.0069800094899836,-0.0036118598335969,0.0087538429561295,0.006658706871434,0,,
2006-02-03,87.16638946533203,-0.0049649536525652,0.0026137250939228,1.0,-0.0116052495253036,-0.0176605027155817,0.0066039927597782,0.006741844116045,0,,
2006-02-06,87.39421844482422,0.0026137250939228,-0.0088463182025912,0.0,-0.0049649536525652,-0.0143259564684978,0.0065573129871134,0.0064677628871921,2,,
2006-02-07,86.62110137939453,-0.0088463182025912,0.009084870958562,1.0,0.0026137250939228,-0.0158431930171473,0.0071307503980023,0.006664665994676,0,,
2006-02-08,87.40804290771484,0.009084870958562,-0.0016588478387451,0.0,-0.0088463182025912,-0.0137860382349918,0.0077904929167601,0.0070439846939545,0,,
2006-02-09,87.26304626464844,-0.0016588478387451,0.0018196773454062,1.0,0.009084870958562,-0.0038615822340914,0.0075513955084112,0.00698041265449,2,,
2006-02-10,87.42183685302734,0.0018196773454062,-0.0018163721341827,0.0,-0.0016588478387451,0.0029305720847472,0.0067853734489526,0.0069762413791221,2,,
2006-02-13,87.26304626464844,-0.0018163721341827,0.0106006937383269,1.0,0.0018196773454062,-0.001500925147109,0.0067815978816803,0.0069797769622695,2,,
2006-02-14,88.18809509277344,0.0106006937383269,0.0035226261117968,1.0,-0.0018163721341827,0.0180902076794842,0.0074306170466145,0.0074155314078413,0,,
2006-02-15,88.49874877929688,0.0035226261117968,0.0074882057375926,1.0,0.0106006937383269,0.0124783239081738,0.0071565501559419,0.0074041901439559,2,,
2006-02-16,89.16144561767578,0.0074882057375926,-0.0027099484887309,0.0,0.0035226261117968,0.0217549058196975,0.0062419301309,0.0075430369507276,0,,
2006-02-17,88.9198226928711,-0.0027099484887309,-0.0024838482083799,0.0,0.0074882057375926,0.01713514487647,0.006007332806994,0.006209756527374,2,,
2006-02-21,88.69895935058594,-0.0024838482083799,0.0060704716603805,1.0,-0.0027099484887309,0.0164549960997546,0.0061646155944538,0.006232195521348,2,,
2006-02-22,89.2374038696289,0.0060704716603805,-0.0014696672729721,0.0,-0.0024838482083799,0.01189853092701,0.0050947905087836,0.0063416270365323,2,,
2006-02-23,89.10625457763672,-0.0014696672729721,0.002556224305579,1.0,0.0060704716603805,0.0068645693495044,0.0047755205331476,0.0063672903142927,2,,
2006-02-24,89.33403015136719,0.002556224305579,0.0003862777869347,1.0,-0.0014696672729721,0.0019356408198163,0.0046059491721568,0.006289488117354,2,,
2006-02-27,89.36853790283203,0.0003862777869347,-0.0095006596115169,0.0,0.002556224305579,0.0050462899764296,0.0046466808752322,0.0059669057308166,2,,
2006-02-28,88.51947784423828,-0.0095006596115169,0.0088903828294515,1.0,0.0003862777869347,-0.0020234905534601,0.0058634127150799,0.0063612518425663,2,,
2006-03-01,89.30644989013672,0.0088903828294515,-7.782616402862708e-05,0.0,-0.0095006596115169,0.0007737340791389,0.0055850445981265,0.0064204389851692,2,,
2006-03-02,89.29949951171875,-7.782616402862708e-05,-0.0046377239021982,0.0,0.0088903828294515,0.0021687022420369,0.0055399212288636,0.0062516111073718,2,,
